Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
World,º World,1989,EFConsTotGHA,202356973.730524,7721174216.69918,2322268361.85674,571694584.805421,1966587154.74723,1036334178.7006968,13820415470.539797,3A,null
World,º World,1990,BiocapTotGHA,213492884.14946,0,2418221528.49086,1065567242.43285,5641978922.54697,1564793407.69396,10904053985.3141,3A,null
World,º World,1990,EFConsTotGHA,213492884.14946,7589376231.8547,2418221528.49086,564399727.140962,1981235299.42398,1050203912.9963908,13816929584.056332,3A,null
World,º World,1991,BiocapTotGHA,212543921.476304,0,2362784748.97512,1065724741.9279,5636019414.99175,1565543397.54025,10842616224.9113,3A,null
World,º World,1991,EFConsTotGHA,212543921.476304,7433381021.98861,2362784748.97512,561143357.831623,1894634675.73034,1069970655.204685,13534458381.206635,3A,null
World,º World,1992,BiocapTotGHA,220486445.506885,0,2394135380.10191,1090827709.60026,5682409096.57709,1603087182.78212,10990945814.5683,3A,null
World,º World,1992,EFConsTotGHA,220486445.506885,7151181041.93492,2394135380.10191,570258969.057753,1856379838.58657,1081367500.6142826,13273809175.802362,3A,null
World,º World,1993,BiocapTotGHA,219457456.79923,0,2374058415.85895,1089832758.76963,5671216449.59386,1593422691.44174,10947987772.4634,3A,null
World,º World,1993,EFConsTotGHA,219457456.79923,7316651801.76314,2374058415.85895,569197797.934284,1827941976.15164,1073436075.1074966,13380743523.614756,3A,null
World,º World,1994,BiocapTotGHA,232023429.578033,0,2443316681.74323,1088456154.27528,5670100272.98945,1601352984.26412,11035249522.8501,3A,null
World,º World,1994,EFConsTotGHA,232023429.578033,7770021601.70199,2443316681.74323,589199510.420172,1828089436.37012,1087108552.472415,13949759212.285995,3A,null
World,º World,1995,BiocapTotGHA,231328999.06331,0,2401766674.25867,1086210229.4605,5665014398.31229,1596996388.16434,10981316689.2591,3A,null
World,º World,1995,EFConsTotGHA,231328999.06331,8063147380.12463,2401766674.25868,613688007.404821,1863385656.11884,1081728380.1195154,14255045097.089775,3A,null
World,º World,1996,BiocapTotGHA,249257873.569546,0,2523590520.63126,1085220690.45655,5652347040.01635,1598846404.90093,11109262529.5746,3A,null
World,º World,1996,EFConsTotGHA,249257873.569546,8367823055.90818,2523590520.63126,631448874.920262,1844196062.32655,1072909923.9562752,14689226311.312046,3A,null
World,º World,1997,BiocapTotGHA,257635780.637681,0,2572338285.71694,1084525294.28878,5638853854.14679,1604709948.9358,11158063163.726,3A,null
World,º World,1997,EFConsTotGHA,257635780.637681,8265922143.03454,2572338285.71694,629628498.501903,1889766254.814,1059718578.2585219,14675009540.963621,3A,null
World,º World,1998,BiocapTotGHA,262595579.272167,0,2609876409.88912,1085626053.85725,5629330508.00902,1612227592.21562,11199656143.2432,3A,null
World,º World,1998,EFConsTotGHA,262595579.272167,8235138465.96197,2609876409.88912,638560907.907441,1872869502.67415,1066338968.1005611,14685379833.80544,3A,null
World,º World,1999,BiocapTotGHA,269194137.091471,0,2653661871.22579,1086346941.72635,5606772863.88214,1612905291.35916,11228881105.2849,3A,null
World,º World,1999,EFConsTotGHA,269194137.091471,8772110615.78586,2653661871.22579,629243609.417957,1905459508.00557,1067630000.6677749,15297299742.194414,3A,null
World,º World,2000,BiocapTotGHA,274471292.450245,0,2661384100.62072,1085268672.07511,5589045861.12094,1617348576.94685,11227518503.2139,3A,null
World,º World,2000,EFConsTotGHA,274471292.450245,9229157316.31488,2661384100.62072,625993718.563065,1967944192.8045,1068472313.6244804,15827422934.377932,3A,null
World,º World,2001,BiocapTotGHA,289598965.666068,0,2668355005.75303,1087172686.63786,5621701911.26833,1631895892.6014,11298724461.9267,3A,null
World,º World,2001,EFConsTotGHA,289598965.666068,9662423881.08887,2668355005.75303,633017790.108375,1926200940.50201,1072086884.5621428,16251683467.680544,3A,null
World,º World,2002,BiocapTotGHA,292117626.796699,0,2663319731.39409,1088624717.79713,5610387350.17627,1630991911.85037,11285441338.0146,3A,null
World,º World,2002,EFConsTotGHA,292117626.796699,9152050956.91358,2663319731.39409,626897007.523958,1962079524.938,1071657428.3471084,15768122275.913439,3A,null
World,º World,2003,BiocapTotGHA,299340083.891495,0,2706811981.65185,1083819276.9446,5573555137.64643,1607807249.31306,11271333729.4474,3A,null
World,º World,2003,EFConsTotGHA,299340083.891495,9485877928.68155,2706811981.65185,650638884.906013,1986794249.00909,1066731922.083213,16196195050.223253,3A,null
World,º World,2004,BiocapTotGHA,324446851.852439,0,2849220808.03898,1077917823.64073,5549084702.32762,1586226533.95785,11386896719.8176,3A,null
World,º World,2004,EFConsTotGHA,324446851.852439,10122096135.1306,2849220808.03898,667103384.996081,2023568308.04099,1066371974.3733221,17052807462.43247,3A,null
World,º World,2005,BiocapTotGHA,331731061.632807,0,2844014291.69341,1074276785.31558,5535447561.92021,1581014675.25596,11366484375.818,3A,null
World,º World,2005,EFConsTotGHA,331731061.632807,10566970323.7178,2844014291.69341,658790308.610966,2056840029.57354,1063683221.1649425,17522029236.393482,3A,null
World,º World,2006,BiocapTotGHA,337148416.246715,0,2889346214.79575,1072314884.85927,5528002736.75603,1575958229.99333,11402770482.6511,3A,null
World,º World,2006,EFConsTotGHA,337148416.246715,10834297137.43,2889346214.79575,663219557.491644,2023442910.99515,1069770881.9109435,17817225118.870213,3A,null
World,º World,2007,BiocapTotGHA,348386923.980576,0,2932988454.53614,1070794075.44231,5513878674.70583,1567526845.03694,11433574973.7018,3A,null
World,º World,2007,EFConsTotGHA,348386923.980576,11489786569.1421,2932988454.53614,655612286.412394,2044413921.99894,1068415036.774286,18539603192.844444,3A,null
World,º World,2008,BiocapTotGHA,373461234.008634,0,3052129370.31541,1081396285.13725,5492679968.64439,1562849746.67634,11562516604.782,3A,null
World,º World,2008,EFConsTotGHA,373461234.008634,11596049669.424,3052129370.31541,642001764.254431,1952085378.31109,1061870389.513242,18677597805.8268,3A,null
World,º World,2009,BiocapTotGHA,369623607.20803,0,3047384295.01429,1081626144.34415,5462326866.65109,1556088710.66082,11517049623.8784,3A,null
World,º World,2009,EFConsTotGHA,369623607.20803,11046829756.2484,3047384295.01429,630681146.893806,1867720679.44887,1069078887.9415392,18031318372.75502,3A,null
World,º World,2010,BiocapTotGHA,386066458.66202,0,3134873676.78453,1078496236.04882,5445188940.63918,1547450308.87053,11592075621.0051,3A,null
World,º World,2010,EFConsTotGHA,386066458.66202,12039978066.1032,3134873676.78453,638292440.655312,1994909338.40219,1043088992.6367413,19237208973.24401,3A,null
World,º World,2011,BiocapTotGHA,402994944.652688,0,3218245732.47448,1076986477.52824,5421442249.34481,1548112385.78154,11667781789.7818,3A,null
World,º World,2011,EFConsTotGHA,402994944.652688,12440858479.8355,3218245732.47448,638123438.253803,2046852676.47895,1033043194.1538918,19780118465.84925,3A,null
World,º World,2012,BiocapTotGHA,401330809.982369,0,3180422421.35668,1067716634.82653,5401665860.6492,1534062718.92276,11585198445.7375,3A,null
World,º World,2012,EFConsTotGHA,401330809.982369,12518678699.5978,3180422421.35668,642945486.959678,2046556578.29994,1049024272.7028179,19838958268.89926,3A,null
World,º World,2013,BiocapTotGHA,431547133.240795,0,3351649953.73171,1067548977.04829,5378165956.52976,1524933651.76645,11753845672.317,3A,null
World,º World,2013,EFConsTotGHA,431547133.240795,12634689868.9123,3351649953.73171,669017816.693703,2074085750.38827,1043538392.2637206,20204528915.230473,3A,null
World,º World,2014,BiocapTotGHA,445668062.137677,0,3397492976.79362,1067606389.91931,5363633278.25938,1523381516.34601,11797782223.456,3A,null
World,º World,2014,EFConsTotGHA,445668062.137677,12434172978.5766,3397492976.79362,691314538.711354,2088104873.3965,1057115354.437567,20113868784.05336,3A,null
World,º World,2015,BiocapTotGHA,451941990.493846,0,3438638494.58979,1066635672.27553,5342045629.4205,1508711388.10401,11807973174.8837,3A,null
World,º World,2015,EFConsTotGHA,451941990.493846,12281253075.9617,3438638494.58979,680479786.457676,2076498944.34782,1032142297.8603765,19960954589.711266,3A,null
World,º World,2016,BiocapTotGHA,465276305.651436,0,3491495196.53944,1068478296.58941,5328196441.31714,1507571708.60937,11861017948.7068,3A,null
